Country or region,year,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Score
Vietnam,2018,0.715,1.365,0.702,0.618,0.177,0.079,5.103
Indonesia,2018,0.899,1.215,0.522,0.538,0.484,0.018,5.093
Bhutan,2018,0.796,1.335,0.527,0.541,0.364,0.171,5.082
Somalia,2018,0,0.712,0.115,0.674,0.238,0.282,4.982
Cameroon,2018,0.535,0.891,0.182,0.454,0.183,0.043,4.975
Bulgaria,2018,1.054,1.515,0.712,0.359,0.064,0.009,4.933
Nepal,2018,0.425,1.228,0.539,0.526,0.302,0.078,4.88
Venezuela,2018,0.996,1.469,0.657,0.133,0.056,0.052,4.806
Gabon,2018,1.036,1.164,0.404,0.356,0.032,0.052,4.758
Palestinian Territories,2018,0.642,1.217,0.602,0.266,0.086,0.076,4.743
South Africa,2018,0.94,1.41,0.33,0.516,0.103,0.056,4.724
Iran,2018,1.059,0.771,0.691,0.459,0.282,0.129,4.707
Ivory Coast,2018,0.541,0.872,0.08,0.467,0.146,0.103,4.671
Ghana,2018,0.592,0.896,0.337,0.499,0.212,0.029,4.657
Senegal,2018,0.429,1.117,0.433,0.406,0.138,0.082,4.631
Laos,2018,0.72,1.034,0.441,0.626,0.23,0.174,4.623
Tunisia,2018,0.9,0.906,0.69,0.271,0.04,0.063,4.592
Albania,2018,0.916,0.817,0.79,0.419,0.149,0.032,4.586
Sierra Leone,2018,0.256,0.813,0,0.355,0.238,0.053,4.571
Congo (Brazzaville),2018,0.682,0.811,0.343,0.514,0.091,0.077,4.559
Bangladesh,2018,0.532,0.85,0.579,0.58,0.153,0.144,4.5
Sri Lanka,2018,0.918,1.314,0.672,0.585,0.307,0.05,4.471
Iraq,2018,1.01,0.971,0.536,0.304,0.148,0.095,4.456
Mali,2018,0.37,1.233,0.152,0.367,0.139,0.056,4.447
Namibia,2018,0.874,1.281,0.365,0.519,0.051,0.064,4.441
Cambodia,2018,0.549,1.088,0.457,0.696,0.256,0.065,4.433
Burkina Faso,2018,0.314,1.097,0.254,0.312,0.175,0.128,4.424
Egypt,2018,0.885,1.025,0.553,0.312,0.092,0.107,4.419
Mozambique,2018,0.198,0.902,0.173,0.531,0.206,0.158,4.417
Kenya,2018,0.493,1.048,0.454,0.504,0.352,0.055,4.41
Zambia,2018,0.562,1.047,0.295,0.503,0.221,0.082,4.377
Mauritania,2018,0.557,1.245,0.292,0.129,0.134,0.093,4.356
Ethiopia,2018,0.308,0.95,0.391,0.452,0.22,0.146,4.35
Georgia,2018,0.853,0.592,0.643,0.375,0.038,0.215,4.34
Armenia,2018,0.816,0.99,0.666,0.26,0.077,0.028,4.321
Myanmar,2018,0.682,1.174,0.429,0.58,0.598,0.178,4.308
Chad,2018,0.358,0.907,0.053,0.189,0.181,0.06,4.301
Congo (Kinshasa),2018,0.069,1.136,0.204,0.312,0.197,0.052,4.245
India,2018,0.721,0.747,0.485,0.539,0.172,0.093,4.19
